KillDeathRatio,HeadshotKillRatio,WinRatio,Top10Ratio
1.17,0.26,2.95,19.9
1.23,0.27,1.03,7.2
1.45,0.24,1.51,18.1
1.03,0.24,0.75,11.9
2.06,0.28,3.49,22.1
1.62,0.25,2.91,12.6
1.04,0.18,2.72,10.9
1.08,0.14,1.1,11.0
1.64,0.18,5.15,16.5
1.42,0.13,5.04,23.0
0.85,0.16,1.32,13.6
0.98,0.15,2.2,15.4
1.03,0.27,2.14,13.4
1.86,0.23,1.12,12.4
1.65,0.12,0.0,12.5
1.19,0.16,3.57,10.7
0.88,0.21,0.82,15.6
0.51,0.25,0.0,15.6
1.62,0.18,3.19,14.9
1.28,0.19,0.0,9.6
2.08,0.23,7.32,13.4
1.31,0.2,4.35,20.7
0.62,0.11,0.0,15.0
0.95,0.23,0.0,11.0
0.99,0.21,1.45,21.0
1.2,0.21,4.35,18.0
1.16,0.15,1.14,28.4
0.97,0.19,1.37,11.6
0.83,0.15,0.0,10.5
0.71,0.19,0.0,4.7
1.26,0.22,3.09,7.2
1.03,0.16,0.91,5.5
0.8,0.19,1.92,19.2
1.36,0.15,7.41,14.8
0.88,0.24,0.0,8.1
1.36,0.15,6.36,18.2
1.14,0.3,1.04,10.4
0.98,0.21,1.62,6.9
1.4,0.25,3.69,25.8
1.03,0.2,0.0,10.8
1.2,0.2,2.74,21.9
0.87,0.17,1.72,11.6
2.38,0.23,3.54,15.7
2.33,0.19,5.0,20.0
1.1,0.25,0.5,5.0
0.74,0.2,2.06,9.3
1.42,0.23,2.4,20.8
1.09,0.23,2.38,20.2
1.12,0.18,0.0,9.9
1.38,0.12,3.53,24.7
1.38,0.23,1.68,13.4
0.98,0.16,2.14,13.4
1.92,0.19,2.75,14.7
1.32,0.2,2.47,17.3
1.14,0.2,0.0,11.6
1.27,0.21,4.21,23.2
0.73,0.19,0.34,5.2
1.05,0.22,1.74,10.4
1.54,0.29,1.83,10.3
1.24,0.16,0.38,3.8
1.82,0.2,4.55,34.1
1.91,0.32,3.55,14.2
1.58,0.29,2.48,12.4
0.88,0.12,1.96,14.7
1.4,0.15,1.45,16.8
0.82,0.24,1.68,7.3
0.74,0.17,0.0,7.2
0.66,0.2,0.0,5.4
1.39,0.2,2.6,9.1
0.87,0.16,0.0,13.0
0.91,0.22,3.09,15.5
2.32,0.35,7.95,23.9
0.21,0.28,0.0,11.6
1.15,0.29,1.68,13.4
1.39,0.22,3.08,20.8
1.41,0.22,2.73,17.3
0.94,0.26,0.0,11.8
1.11,0.26,1.61,14.5
0.37,0.19,1.71,22.2
0.55,0.04,0.95,14.3
1.21,0.16,0.93,10.2
0.87,0.21,1.02,15.3
0.52,0.2,0.97,10.1
1.11,0.16,2.14,11.4
0.94,0.18,2.22,14.4
0.42,0.27,2.22,25.6
1.09,0.16,0.67,6.7
2.08,0.18,4.91,12.5
0.67,0.17,1.19,9.5
1.16,0.24,1.01,14.1
1.6,0.19,1.92,9.6
0.9,0.19,0.65,11.0
2.16,0.25,3.61,14.5
0.96,0.19,0.0,8.8
2.03,0.2,1.78,17.2
0.81,0.28,0.0,9.5
1.13,0.18,1.56,13.5
0.9,0.17,1.37,5.5
1.05,0.24,8.43,31.3
1.58,0.24,1.85,11.7
1.25,0.21,2.8,9.8
0.99,0.23,1.19,12.5
1.86,0.33,5.0,19.0
0.94,0.18,1.09,8.2
0.73,0.25,0.0,11.1
1.46,0.24,3.45,19.5
1.04,0.28,4.88,17.1
1.18,0.17,1.23,17.3
1.15,0.16,3.32,27.8
0.61,0.16,0.68,7.1
2.99,0.3,4.8,11.2
1.57,0.23,4.94,22.2
1.54,0.26,2.33,14.0
1.21,0.16,3.04,23.6
1.2,0.2,0.0,17.2
2.56,0.2,10.85,40.6
1.36,0.23,0.81,11.7
1.12,0.22,0.69,8.8
1.02,0.23,1.89,15.7
1.58,0.22,4.94,19.8
1.81,0.31,1.95,13.6
1.27,0.16,1.18,5.9
1.05,0.17,0.2,6.8
0.59,0.2,0.53,9.6
2.57,0.24,4.08,14.3
0.82,0.17,1.16,25.6
0.85,0.25,0.78,8.6
1.14,0.24,2.75,13.8
2.16,0.21,2.11,13.5
1.01,0.14,0.58,14.5
1.76,0.18,4.26,13.8
1.2,0.18,0.47,6.5
1.25,0.18,1.55,14.0
0.58,0.2,1.04,16.1
1.15,0.2,0.92,13.8
1.03,0.18,0.0,8.1
0.47,0.16,0.0,7.6
0.76,0.17,0.74,12.6
1.78,0.21,1.96,4.9
1.97,0.3,5.23,15.0
1.26,0.18,0.79,15.0
1.42,0.22,2.27,15.9
0.79,0.22,0.0,8.9
3.24,0.21,5.84,20.4
1.05,0.17,2.96,23.7
1.15,0.28,1.87,7.5
0.74,0.21,0.43,8.0
0.89,0.25,0.65,9.2
2.71,0.2,8.9,33.6
1.03,0.24,0.7,7.7
1.58,0.18,0.0,3.4
2.01,0.22,10.53,33.7
2.25,0.21,5.44,15.6
1.34,0.23,0.0,9.2
1.34,0.19,0.86,7.8
1.79,0.29,0.31,9.4
0.74,0.13,0.0,8.5
1.48,0.23,2.11,16.8
1.61,0.2,0.33,7.3
1.23,0.21,2.65,17.7
1.22,0.15,1.55,25.6
1.01,0.16,0.51,7.7
1.13,0.37,0.0,9.3
0.43,0.2,0.23,5.9
0.86,0.24,1.83,11.0
4.46,0.26,10.34,28.7
1.07,0.23,1.31,14.0
1.23,0.22,3.01,15.1
0.9,0.1,0.88,16.7
0.92,0.2,1.55,8.5
0.92,0.21,1.98,13.0
1.14,0.14,3.08,30.8
2.58,0.2,3.16,17.7
0.92,0.11,1.11,10.0
1.35,0.22,2.22,10.0
1.14,0.26,2.16,20.1
0.82,0.26,0.0,5.4
1.14,0.19,0.44,9.2
0.64,0.17,1.44,11.5
1.08,0.21,1.23,19.1
0.66,0.12,2.68,12.1
1.77,0.28,4.65,24.8
0.88,0.22,0.96,17.8
1.1,0.26,1.74,20.9
1.83,0.25,4.1,27.0
0.67,0.13,0.83,8.3
1.1,0.15,0.0,6.2
1.16,0.28,1.25,10.0
0.82,0.38,2.89,35.5
0.97,0.18,0.0,6.7
0.76,0.22,0.97,14.6
1.13,0.18,1.54,16.2
1.35,0.26,2.59,7.8
0.57,0.18,0.0,16.7
1.97,0.23,1.51,11.1
1.19,0.18,1.75,11.4
2.56,0.17,3.88,10.9
1.51,0.14,1.11,11.1
0.66,0.14,1.03,12.4
1.12,0.23,1.11,8.9
1.21,0.15,1.5,19.5
0.76,0.14,0.0,13.7
1.75,0.15,8.82,31.4
1.22,0.15,2.65,17.7
0.73,0.12,1.0,14.3
1.21,0.18,1.1,5.5
3.63,0.28,22.77,69.3
1.62,0.26,2.3,11.5
0.71,0.24,1.91,11.5
2.07,0.15,5.62,20.2
1.39,0.18,1.6,11.2
1.79,0.19,1.44,8.6
1.38,0.19,1.85,14.8
0.82,0.12,1.05,14.7
1.57,0.26,5.56,20.4
2.24,0.25,5.15,16.5
1.08,0.15,2.74,14.2
0.88,0.25,2.0,12.0
1.48,0.17,1.2,10.8
1.14,0.16,1.05,8.9
1.08,0.21,1.59,9.5
1.0,0.21,1.03,8.7
1.2,0.28,1.22,6.1
0.99,0.24,1.5,9.8
1.01,0.19,0.0,14.4
1.83,0.2,7.85,26.4
0.81,0.24,0.0,10.7
0.89,0.18,1.84,10.4
0.79,0.24,0.0,11.0
0.54,0.25,0.0,5.9
1.26,0.13,0.0,7.3
1.39,0.16,2.3,16.1
1.87,0.24,2.27,15.9
1.42,0.29,0.0,13.7
3.95,0.22,6.93,24.5
2.24,0.24,8.67,36.9
0.87,0.17,1.44,22.6
1.59,0.22,0.0,11.6
1.04,0.26,0.8,8.4
1.67,0.28,4.61,15.8
0.92,0.15,1.12,9.3
1.45,0.19,0.96,8.3
1.17,0.26,0.85,4.8
1.04,0.22,3.24,22.2
1.09,0.14,1.25,6.2
1.24,0.16,0.0,11.8
1.97,0.14,2.22,14.4
0.81,0.18,0.0,10.7
0.79,0.13,1.02,7.7
0.93,0.11,0.0,12.1
1.22,0.15,4.44,15.6
1.24,0.15,1.42,12.8
1.05,0.15,3.33,27.8
2.48,0.32,11.83,32.3
0.9,0.19,0.0,13.0
1.05,0.25,1.85,13.0
1.63,0.15,2.27,13.6
1.55,0.18,3.16,24.2
2.05,0.3,7.06,16.5
1.6,0.19,1.74,9.1
1.32,0.16,1.23,23.5
0.9,0.14,0.0,11.8
2.23,0.25,3.95,11.3
1.69,0.23,4.97,21.4
0.44,0.2,0.0,6.8
0.89,0.21,0.9,18.9
1.43,0.24,3.28,22.1
1.98,0.35,4.62,19.5
1.72,0.23,1.68,10.9
1.19,0.14,1.77,14.2
1.13,0.21,0.77,8.5
1.06,0.29,1.36,10.5
1.07,0.17,0.95,17.1
1.76,0.27,6.14,17.5
1.08,0.12,1.85,18.5
0.88,0.11,1.98,12.9
0.98,0.15,0.95,13.8
1.21,0.23,1.3,7.8
0.67,0.14,0.87,8.7
1.4,0.21,2.33,19.8
1.67,0.22,0.0,7.3
0.53,0.17,0.0,9.1
0.64,0.18,0.0,10.1
1.09,0.15,0.62,5.6
0.91,0.2,2.11,7.0
2.52,0.4,11.02,22.9
1.65,0.21,1.63,16.3
1.09,0.22,2.48,15.7
1.04,0.17,1.03,11.3
1.57,0.29,2.99,15.7
1.08,0.13,0.95,12.4
3.55,0.2,11.76,41.2
1.28,0.16,1.58,17.7
1.63,0.2,5.26,14.0
0.93,0.22,0.0,14.2
1.49,0.15,2.87,18.2
1.69,0.24,2.1,21.7
0.7,0.13,0.39,12.0
1.08,0.17,0.0,14.3
1.27,0.23,1.16,8.1
1.92,0.23,3.43,10.7
0.62,0.26,0.9,18.9
1.2,0.17,0.0,7.9
1.82,0.21,3.16,9.5
0.68,0.19,0.3,10.7
0.82,0.23,0.0,6.3
0.34,0.19,0.0,9.4
1.38,0.21,2.07,10.9
1.42,0.21,0.82,10.7
1.26,0.2,1.94,19.4
1.72,0.25,2.44,17.9
1.32,0.24,2.74,17.8
1.33,0.18,2.3,16.1
0.67,0.22,0.0,16.7
1.02,0.22,1.6,9.6
1.98,0.19,10.38,38.7
0.93,0.28,2.63,21.1
1.07,0.29,0.81,8.1
1.54,0.25,1.36,5.4
1.28,0.19,5.32,28.7
6.42,0.26,15.94,25.1
1.34,0.17,1.57,3.9
1.89,0.19,6.56,20.2
1.21,0.23,0.81,6.5
0.82,0.1,0.65,10.4
1.87,0.15,3.6,26.6
1.41,0.19,0.9,9.9
1.41,0.18,0.26,8.2
1.22,0.22,1.74,8.7
1.65,0.25,2.12,15.9
0.78,0.12,1.68,17.6
1.56,0.14,6.77,23.3
1.43,0.23,2.15,6.5
0.79,0.21,1.6,11.2
1.02,0.11,0.88,9.7
0.96,0.16,3.42,26.5
0.91,0.11,0.54,16.7
0.47,0.23,0.0,14.5
1.05,0.16,0.0,13.7
1.06,0.18,0.96,18.4
0.64,0.23,0.71,18.4
1.33,0.24,1.09,19.6
1.04,0.22,2.08,18.8
2.08,0.28,2.5,22.5
1.4,0.19,1.23,12.3
1.3,0.18,1.99,18.8
1.68,0.23,2.55,11.5
1.38,0.23,2.15,11.8
1.11,0.19,0.73,7.0
0.54,0.14,0.0,12.3
2.33,0.23,0.0,8.8
0.51,0.19,0.0,15.6
1.23,0.42,0.0,5.6
1.62,0.27,1.23,22.2
1.05,0.34,2.26,20.9
1.59,0.3,1.06,22.3
1.91,0.23,2.3,10.6
1.12,0.26,3.62,19.6
1.45,0.23,3.73,17.8
1.11,0.21,1.2,27.7
1.24,0.17,0.65,10.4
1.79,0.22,4.55,16.4
0.84,0.18,0.94,22.6
1.09,0.17,0.97,10.7
1.31,0.26,1.92,12.2
0.86,0.16,2.22,15.0
1.5,0.22,2.78,23.6
6.18,0.3,22.73,42.9
0.86,0.2,0.58,10.5
0.89,0.21,0.0,11.3
2.4,0.36,3.03,17.2
1.66,0.19,2.79,21.8
1.58,0.13,6.86,33.3
1.02,0.19,0.52,7.3
0.9,0.11,2.0,26.0
1.57,0.25,1.47,6.6
0.62,0.18,0.35,8.7
1.24,0.17,0.95,15.2
0.99,0.16,0.73,9.5
0.64,0.18,0.44,11.5
1.3,0.17,1.18,23.5
0.79,0.19,0.0,7.3
0.91,0.22,2.52,12.6
0.59,0.2,0.0,12.4
0.87,0.14,0.0,4.1
1.71,0.18,4.85,13.6
1.85,0.15,7.87,20.2
0.83,0.22,1.08,17.2
0.7,0.25,0.66,8.6
1.68,0.17,2.07,6.7
0.81,0.3,0.0,13.6
2.98,0.33,5.19,18.1
0.96,0.18,0.0,17.5
0.87,0.17,1.39,12.5
1.81,0.25,3.19,12.8
0.97,0.29,0.85,11.1
3.29,0.21,7.63,22.0
1.75,0.24,3.59,12.8
0.98,0.25,0.79,7.9
1.31,0.32,3.12,18.8
1.27,0.16,0.96,15.3
0.61,0.17,0.45,9.6
0.76,0.21,0.34,7.4
0.84,0.12,0.35,13.7
1.21,0.22,1.15,28.7
0.84,0.2,1.57,7.9
1.23,0.15,1.12,8.4
2.12,0.23,3.36,10.1
0.88,0.14,0.0,11.0
0.76,0.18,1.82,17.3
2.36,0.13,10.75,36.6
1.2,0.23,1.71,13.7
2.94,0.26,4.52,20.6
0.78,0.2,0.81,8.5
1.06,0.14,0.0,18.3
0.72,0.33,0.0,13.3
1.06,0.25,1.56,14.1
1.2,0.22,2.44,27.3
1.49,0.23,2.14,10.0
1.73,0.23,3.25,16.9
1.25,0.19,1.23,11.1
1.21,0.25,1.23,7.4
0.94,0.32,0.55,9.7
1.31,0.23,1.16,14.0
1.62,0.24,0.0,15.4
1.63,0.24,1.24,4.3
1.31,0.21,0.0,5.2
1.16,0.27,1.22,9.8
1.78,0.24,1.57,13.3
1.67,0.19,2.02,5.1
1.24,0.15,0.63,8.9
2.11,0.18,9.27,26.8
0.97,0.19,2.45,13.5
0.99,0.13,0.6,9.0
2.17,0.19,6.13,35.4
0.68,0.19,1.18,6.5
1.47,0.43,0.75,14.9
3.38,0.23,10.53,26.3
1.11,0.21,2.17,9.4
1.19,0.18,2.15,22.6
1.21,0.15,0.97,13.6
1.01,0.24,1.16,12.7
0.77,0.2,0.26,5.8
1.38,0.22,1.96,17.6
1.56,0.21,4.42,12.4
2.53,0.35,9.41,31.8
0.97,0.2,1.93,15.5
1.42,0.17,2.14,13.4
1.27,0.14,2.94,10.6
1.45,0.32,2.79,14.0
0.94,0.19,2.44,12.2
0.47,0.22,0.32,19.4
2.44,0.26,3.86,10.0
0.79,0.22,0.0,5.4
1.13,0.24,0.0,9.2
1.22,0.23,1.69,12.7
0.79,0.19,0.32,11.2
0.82,0.15,0.0,14.6
0.97,0.16,0.35,7.3
0.41,0.25,0.0,10.9
1.25,0.24,1.06,12.8
1.33,0.24,6.61,27.8
0.94,0.2,1.4,7.9
1.09,0.21,0.96,15.4
1.22,0.2,0.54,10.2
1.22,0.12,3.47,14.6
0.59,0.18,1.03,9.3
0.8,0.17,3.06,9.2
1.1,0.2,0.62,7.5
0.95,0.25,1.96,8.8
0.5,0.19,0.68,10.3
1.25,0.2,1.06,4.4
0.65,0.16,0.0,18.8
0.63,0.15,0.0,8.8
0.72,0.18,0.53,11.6
0.83,0.12,0.95,4.8
2.55,0.29,3.81,22.9
1.57,0.26,1.44,5.8
2.47,0.22,4.02,18.8
1.04,0.14,2.42,16.9
1.02,0.21,0.75,11.9
1.19,0.12,1.16,7.6
1.41,0.27,1.36,10.9
0.68,0.25,0.87,10.7
1.11,0.19,2.76,9.0
1.1,0.22,0.0,10.2
0.72,0.18,0.21,15.7
1.37,0.19,2.67,27.3
1.3,0.18,0.87,7.8
1.19,0.18,0.88,9.7
0.57,0.25,0.99,15.8
0.83,0.18,1.3,11.3
0.59,0.17,0.0,14.0
0.78,0.14,0.9,23.4
1.7,0.25,0.0,13.0
1.47,0.17,1.74,12.2
1.84,0.25,4.62,10.4
1.02,0.26,2.38,19.0
0.4,0.19,1.1,13.2
2.03,0.18,6.35,20.6
1.21,0.17,1.27,13.4
0.66,0.09,0.0,4.0
1.6,0.21,9.64,24.1
0.89,0.14,1.09,8.7
1.89,0.24,3.52,14.1
1.27,0.22,2.67,20.0
1.12,0.16,0.37,7.7
0.61,0.18,0.63,10.7
0.74,0.24,1.56,11.5
0.96,0.22,0.0,20.6
1.07,0.18,1.96,14.7
1.81,0.22,5.26,24.8
1.42,0.17,1.25,10.0
0.92,0.24,0.0,5.1
1.09,0.18,0.89,10.2
1.09,0.11,0.55,13.7
0.89,0.17,0.87,16.5
0.87,0.17,0.83,11.7
1.68,0.18,4.46,14.3
1.25,0.21,0.37,7.0
0.74,0.2,1.25,10.0
1.45,0.13,3.45,26.2
0.52,0.17,0.0,12.5
0.97,0.17,1.07,18.2
0.95,0.21,0.59,9.4
0.99,0.21,0.96,4.8
1.52,0.21,0.0,5.0
1.11,0.19,2.33,11.0
0.99,0.16,0.0,10.9
0.7,0.15,1.25,8.8
2.6,0.32,8.74,25.2
1.36,0.17,1.85,22.2
1.45,0.23,1.12,13.9
1.12,0.27,2.56,6.0
1.32,0.26,0.73,8.8
1.22,0.33,0.81,13.7
2.21,0.35,8.08,24.2
1.07,0.19,1.69,11.4
1.41,0.09,1.04,32.3
1.03,0.13,1.96,24.8
0.94,0.24,1.94,4.9
1.18,0.17,2.7,30.6
0.93,0.21,0.59,6.5
1.41,0.17,2.16,16.9
1.03,0.16,0.85,7.7
1.17,0.38,2.91,26.2
0.97,0.17,1.33,11.3
2.51,0.24,4.89,19.6
1.02,0.19,4.38,19.0
1.37,0.17,1.56,18.8
0.52,0.14,1.3,12.3
1.61,0.26,6.06,20.5
1.25,0.26,2.91,11.7
1.15,0.2,0.96,9.6
0.51,0.18,0.0,6.9
2.37,0.2,8.82,33.3
1.32,0.15,1.36,8.8
0.78,0.15,0.0,15.1
1.81,0.22,6.14,14.9
0.68,0.2,1.35,5.4
1.97,0.19,5.33,19.3
1.39,0.29,1.98,4.0
0.77,0.14,0.31,14.1
2.59,0.31,10.67,31.3
0.82,0.22,3.31,20.5
0.87,0.21,1.63,11.9
1.4,0.22,1.31,7.2
1.54,0.19,2.17,13.0
3.75,0.21,11.88,29.7
1.83,0.21,4.17,16.7
1.14,0.23,1.35,8.0
1.49,0.24,0.59,10.6
2.01,0.24,3.6,18.9
0.58,0.13,1.37,11.8
1.12,0.18,0.88,7.9
1.59,0.3,0.0,14.7
0.79,0.21,1.5,11.3
0.78,0.11,0.88,12.3
0.72,0.23,1.01,7.1
1.37,0.24,3.0,17.0
1.35,0.13,1.01,9.1
1.42,0.17,1.42,8.5
0.51,0.27,1.96,10.8
0.95,0.12,0.84,6.7
2.13,0.22,6.8,26.2
2.27,0.15,8.4,23.7
2.99,0.23,6.1,25.6
1.24,0.23,2.94,12.4
1.09,0.26,1.1,9.3
1.45,0.27,2.8,10.5
1.73,0.22,1.06,9.6
1.42,0.22,1.3,7.4
1.69,0.29,1.94,17.4
2.52,0.28,5.15,17.5
1.89,0.22,3.68,19.0
1.05,0.23,1.15,14.9
1.26,0.19,3.27,17.6
0.96,0.16,0.0,12.2
1.07,0.13,2.27,13.6
1.1,0.25,4.27,18.8
1.05,0.19,0.69,11.8
1.28,0.17,0.0,6.0
0.88,0.19,0.69,11.8
2.44,0.28,2.47,17.3
0.76,0.18,0.0,7.1
0.9,0.22,1.2,10.8
1.65,0.19,4.17,20.8
1.23,0.26,4.71,12.9
0.67,0.19,2.27,14.8
1.26,0.29,2.54,14.4
0.96,0.2,0.88,8.4
0.98,0.25,0.43,4.3
1.42,0.19,0.39,3.1
1.06,0.21,0.0,5.8
2.54,0.25,6.17,16.0
1.21,0.13,0.0,10.1
2.44,0.24,6.3,25.2
1.05,0.22,0.6,7.3
3.03,0.22,4.07,20.3
2.31,0.19,10.9,34.6
1.53,0.18,1.49,9.7
1.14,0.22,2.34,21.1
0.69,0.15,0.0,6.8
0.8,0.15,0.0,9.6
0.7,0.13,1.8,9.0
1.73,0.23,1.54,14.2
1.67,0.12,5.04,28.6
3.53,0.2,12.64,32.2
1.5,0.24,4.46,11.6
0.96,0.14,1.8,12.6
1.14,0.35,0.72,10.1
1.2,0.18,0.4,12.7
1.13,0.18,1.04,8.3
1.48,0.19,0.0,5.6
1.01,0.32,0.0,10.1
0.85,0.24,0.0,8.5
1.75,0.2,2.43,13.9
1.0,0.21,0.81,19.5
1.35,0.23,1.74,11.6
1.01,0.15,2.78,16.7
1.27,0.25,3.12,8.3
1.49,0.22,2.08,6.2
1.06,0.21,2.68,13.8
0.77,0.09,1.14,8.0
1.98,0.21,3.79,15.5
2.39,0.17,5.88,23.5
0.93,0.12,1.75,17.5
2.24,0.16,6.06,21.2
0.8,0.09,0.69,11.1
0.9,0.14,0.88,19.3
1.15,0.21,2.05,12.3
1.52,0.29,1.25,11.2
0.56,0.26,0.81,16.1
0.95,0.16,0.0,12.6
1.0,0.21,3.24,14.4
1.56,0.23,3.08,16.9
0.88,0.24,0.68,11.6
1.35,0.25,0.0,13.5
1.27,0.2,1.8,15.3
0.91,0.24,2.13,8.5
1.07,0.21,2.3,6.9
1.14,0.23,0.85,7.9
2.44,0.23,4.88,12.2
1.1,0.17,2.78,19.0
1.08,0.2,0.0,16.3
1.37,0.24,0.86,10.3
2.07,0.28,2.17,12.3
1.66,0.26,4.49,15.7
1.14,0.31,0.68,10.5
1.19,0.19,0.74,6.3
2.48,0.23,3.12,18.8
0.33,0.11,0.0,6.7
1.02,0.23,1.15,8.6
1.73,0.22,4.42,14.2
1.75,0.22,2.43,10.8
1.33,0.2,1.01,11.1
1.75,0.2,5.11,13.6
1.44,0.22,1.72,9.9
0.99,0.1,2.7,15.3
0.98,0.19,0.51,8.2
1.01,0.24,0.0,9.5
1.16,0.22,1.02,15.7
1.35,0.26,1.63,14.6
1.03,0.26,0.67,6.0
1.08,0.25,3.3,8.8
0.97,0.09,3.54,19.5
0.97,0.23,1.06,10.6
0.93,0.26,0.71,12.9
0.89,0.15,0.0,9.5
1.43,0.34,1.69,8.5
1.27,0.19,4.44,14.8
0.61,0.27,0.86,17.2
1.0,0.14,1.52,5.3
1.88,0.19,2.02,8.1
1.5,0.25,2.6,11.5
0.8,0.18,0.0,18.1
0.96,0.2,0.65,6.9
1.51,0.21,1.15,8.5
1.18,0.21,0.96,10.9
1.88,0.26,0.95,11.4
0.66,0.23,0.92,11.9
1.72,0.23,2.31,7.7
1.36,0.19,0.0,11.4
1.05,0.22,1.43,9.3
3.31,0.25,6.9,19.8
1.18,0.11,0.0,8.9
1.49,0.17,3.93,31.2
1.26,0.21,1.23,11.0
0.91,0.16,0.0,11.1
0.58,0.24,0.87,15.7
1.28,0.23,3.33,8.9
1.77,0.24,0.89,9.8
2.21,0.23,3.66,16.2
1.11,0.24,0.68,9.6
0.73,0.16,1.67,10.0
0.8,0.24,1.06,13.8
1.81,0.33,2.41,12.0
1.01,0.15,0.72,15.8
1.58,0.2,0.0,7.5
1.54,0.21,0.0,11.4
0.73,0.23,0.0,6.2
1.19,0.18,2.06,7.2
1.21,0.18,3.7,14.8
1.3,0.23,2.4,22.4
1.33,0.28,1.25,20.0
1.06,0.28,1.8,17.1
2.08,0.25,3.61,21.7
2.47,0.22,6.0,39.0
0.92,0.21,0.0,6.0
0.63,0.25,1.01,24.2
0.82,0.19,0.61,3.4
1.07,0.2,1.05,9.9
0.87,0.18,2.63,7.9
1.42,0.22,1.2,15.6
1.87,0.21,3.23,12.9
2.2,0.3,2.08,11.5
1.76,0.22,5.15,17.5
0.68,0.21,0.0,8.6
1.16,0.18,1.23,12.3
0.74,0.08,1.37,17.1
0.94,0.15,0.59,4.7
1.86,0.22,2.04,17.0
1.76,0.2,2.01,20.8
1.84,0.21,4.44,15.6
0.89,0.13,0.83,5.8
0.86,0.17,0.0,8.7
2.17,0.23,7.09,28.4
1.67,0.22,5.32,19.1
1.31,0.24,2.22,13.0
1.04,0.14,0.89,11.6
1.46,0.16,1.2,22.9
1.0,0.25,1.04,9.4
0.9,0.17,1.98,17.8
1.19,0.22,1.88,13.1
0.75,0.21,0.7,7.0
0.62,0.2,0.0,11.0
1.74,0.23,1.97,10.5
0.59,0.24,0.47,11.8
2.09,0.21,5.28,39.9
0.99,0.25,0.0,6.9
0.65,0.16,0.41,5.8
1.42,0.22,1.01,9.1
1.78,0.2,0.85,10.3
1.27,0.21,3.16,17.9
0.92,0.37,1.45,10.1
1.6,0.18,1.14,5.1
2.01,0.29,2.38,12.7
1.11,0.21,1.94,12.6
1.29,0.21,0.92,11.2
0.51,0.21,2.38,14.3
0.96,0.17,0.0,9.1
1.13,0.19,3.19,14.9
0.79,0.16,2.92,14.6
1.04,0.28,1.11,10.0
1.29,0.27,2.04,17.3
1.73,0.24,4.04,16.2
2.89,0.26,5.0,17.5
0.81,0.17,1.03,6.2
0.7,0.15,0.0,9.5
0.74,0.24,3.7,21.0
1.37,0.15,2.15,23.7
1.2,0.25,1.32,15.2
1.49,0.22,2.68,17.4
1.35,0.16,0.0,9.5
0.92,0.21,0.0,6.0
1.0,0.22,2.5,22.5
0.49,0.2,0.0,6.8
1.56,0.3,3.28,14.8
1.2,0.15,5.05,16.2
1.31,0.26,2.19,7.3
1.06,0.23,1.63,14.6
1.21,0.2,0.0,8.8
1.11,0.14,0.0,12.0
0.68,0.23,3.38,19.6
1.02,0.17,0.88,13.2
0.79,0.23,0.0,8.0
0.78,0.28,1.19,15.5
0.62,0.15,1.08,10.5
0.71,0.09,0.0,8.3
1.12,0.27,1.13,6.8
1.71,0.26,3.31,12.4
1.07,0.16,1.33,8.7
2.1,0.24,6.87,16.0
1.0,0.23,2.22,10.4
1.29,0.25,1.89,16.4
0.86,0.2,0.84,9.2
1.08,0.22,2.03,22.8
2.33,0.25,8.75,30.6
1.49,0.2,1.49,8.5
0.56,0.2,0.0,8.2
0.63,0.18,0.0,10.2
1.1,0.15,0.19,5.4
0.83,0.17,0.46,5.9
0.64,0.25,0.73,10.9
1.69,0.22,5.74,30.3
1.27,0.18,1.8,15.3
1.6,0.17,1.97,8.6
0.67,0.26,1.13,11.8
2.13,0.22,5.03,21.1
1.29,0.15,0.0,19.0
0.74,0.2,2.65,19.5
1.37,0.22,1.09,3.8
2.52,0.29,13.75,41.2
0.41,0.3,0.78,14.0
1.59,0.2,4.12,11.3
0.86,0.17,2.7,15.3
0.85,0.17,0.49,8.8
0.85,0.14,0.83,5.2
1.76,0.16,5.76,25.2
1.41,0.15,2.3,19.5
0.93,0.21,0.51,7.1
1.31,0.15,0.85,11.5
2.76,0.21,4.67,10.3
2.63,0.25,8.27,24.4
0.69,0.2,2.36,13.4
0.71,0.17,0.27,9.6
1.16,0.24,0.7,11.3
2.29,0.21,7.41,24.7
0.78,0.16,0.8,13.5
1.54,0.31,2.13,5.3
1.38,0.15,1.1,9.9
1.72,0.26,5.73,22.0
3.21,0.22,11.69,45.5
2.24,0.28,5.56,18.5
1.37,0.17,0.71,8.1
2.27,0.26,6.03,13.8
0.78,0.26,0.9,6.3
0.9,0.15,3.27,18.4
0.82,0.19,0.89,9.8
1.42,0.21,1.57,6.9
0.95,0.17,5.0,18.8
1.32,0.13,0.0,7.0
1.39,0.21,3.75,13.8
1.15,0.16,1.77,12.4
1.7,0.18,1.24,18.6
0.63,0.12,0.35,10.8
1.0,0.2,0.0,9.2
2.43,0.28,2.57,10.3
1.06,0.12,1.38,14.3
0.87,0.26,0.0,17.8
1.11,0.09,2.41,10.8
1.27,0.2,2.88,7.2
1.12,0.16,2.46,18.0
1.39,0.23,3.7,19.4
1.1,0.16,0.0,8.3
0.66,0.2,0.75,10.1
0.93,0.2,1.02,13.3
0.83,0.2,1.33,13.7
1.18,0.34,3.81,27.6
1.99,0.21,2.65,21.2
1.06,0.24,0.98,5.7
1.37,0.22,0.0,6.6
